model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,skipped
SVM-RBF,0.8216666666666667,0.030092450142112984,0.7775858839179779,0.034269002658872436,False
SVM-Linear,0.775,0.04472135954999579,0.7330519991540696,0.04866792865907854,False
Static-MKL,0.7683333333333333,0.04453463071962463,0.7107254185955719,0.05595168825820218,False
Adaptive-Hybrid-Kernel-SVM,,,,,True
